cod,numero_caso,descripcion,area_resolutor,estado
261,390, *CODIGO PROMOCIONAL: BCN7PEN###50567e *FECHA DE OCURRENCIA: 04/09/23:40pm *NIVEL DE CLIENTE:  NIVEL 7 *PANTALLAZO DE ERROR: SE ADJUNTA VIDEO *ALIAS:  JaviDeLima  Invitado intenta ingresar el código que le brindo su Ejecutivo Marcelo y le sale MENSAJE DE ERROR // Intenta varias veces y no puede. ,DEPORTES,CERRADO
275,404, Numero de cuenta: 2413132962806 Monto: 568.27 Fecha:04/09/20 23:35 Motivo: Realizo deposito en dolares a su cuenta en soles Alias:ANITA5,FINANZAS,CERRADO
278,407, Alias: Sil25   HORA: 23:37 [23:47 // 7/9/2020] Silvy Quiñones: Estaba jugando como una sonsa  Y me sale el juego //  Y gané 2400 soles //  Y salió error y simplemente no fueron contabilizados // Me parece pésimo de parte del casino.  Y ahí está también que se débito y que no pago nada //  Lo cual es imposible //  Porque esa jugada si o si tiene premio. Sale la jugada del bono //  Pero ahí se pueden dar cuenta que no pago nada // Ese lotto del medio es el bonus // Y ahí te pasa a otra pantalla para que elijas // Y ahí salió el premio // Pero no hay nada,OPERACIONES TI,CERRADO
292,421,Invitada indica que desea cerrar su cuenta por motivos de seguridad. Alias:rosanabellodas DNI:16690712 motivo: VER ADJUNTO,DEPORTES,CERRADO
293,422,Alias:andreasalhuana /(se adjunta foto del correo) Motivo: Invitada desea eliminar su cuenta por motivo de seguridad de su información personal.,DEPORTES,CERRADO
294,423,PANTALLAZO DEL DESCUENTO DE CUENTA BANCARIA: ADJUNTADO EN EL RECLAMO 404 *FECHA DE DEPÓSITO: 04/09/2020 11:35PM *BANCO Y PASARELA DE PAGO: BBVA Numero de cuenta: 2413132962806 *ALIAS: ANITA5 *MONTO: 568.27 SOLES  Invitada indica que por error pago por via SAFETYPAY EN DOLARES a su cuenta en soles // lo cual en su estado de cuenta figura UN MONTO DE 568.27 SOLES e indica que verificando en su HISTORIAL DE LA PAGINA no verifica ese monto tampoco el horario que esta en sus movimientos de su banca // indica que le estamos robando ese dinero. SE HACE REFERENCIA AL RECLAMO NRO 404,FINANZAS,CERRADO
295,424,WIFI/DATOS: Wifi Modelo y Marca de celular: Juega desde computadora Tipo de Navegador: Chrome Imagen de error: Se adjunta en el reclamo Mensaje del error: "Tu apuesta no fue colocada y tu saldo no fue aceptado"  Invitado indica que cuando ingresa al juego de mesas en vivo "MAMBO UNLIMITED BLACKJACK" le sale un mensaje de error que no le permite continuar con su apuesta " "Tu apuesta no fue colocada y tu saldo no fue aceptado" ese mensaje le salio en 3 oportunidades.,OPERACIONES TI,CERRADO
297,426,[1:39 // 12/9/2020] Silvy Quiñones:Esto es una incomodidad bien grande // A cada rato se corta el juego Tienen que hacer algo //  Es que se pone con esa pantalla que oscurece todo cuando entra al error Por eso no se ve bien // He probado varios juegos // Para que no digan que soy odiosa // Algunos simplemente nunca cargan // Y otros a cada rato fallan y se cuelga // Es un fastidio // Y no puedes fugar fluido // Cuando se trata de dinero //No pueden haber errores // Porque aquí nada es gratis. Se presta a pensar mal //O que su plataforma no es segura // Personalmente ya me queda duda Como puedo saber yo si pierdo como loca porque no esta funcionando bien algo.,OPERACIONES TI,CERRADO
298,427,Invitada indica que realizo 3 retiros que aun no le depositan en su cuenta iNTERBANK se Adjunta en el reclamo movimientos de su cuenta desde el 1ero de setiembre al 6 de setiembre // ademas indica que esta revisando su correo y solo le llegan los correos de depósitos // pero no tiene ningún correo de retiro aprobado // se adjunta el historial de retiros aprobados.  1er Retiro: Fecha 09/01/2020 04:04:01 PM MONTO 100 SOLES 2do retiro: Fecha : 09/01/2020 05:19:29 PM MONTO 400 SOLES 3er Retiro: Fecha: 09/04/2020 02:40:23 PM MONTO 200 SOLES ,FINANZAS,CERRADO
309,438,INVITADO SR. ROBERTO CORREA // POR ERROR CREO CUENTA EN SOLES. INVITADO DESEA QUE PUEDAN ANULAR EL REGISTRO PARA CREAR CORRECTAMENTE SU CUENTA EN LA MONEDA DOLARES. INVITADO CONFIRMA LA AUTORIZACION POR MEDIO DE WSP. SE ADJUNTA.,DEPORTES,CERRADO
310,439,Buenas noches estimados // mi cliente el sr. Mario Ponce estuvo jugando el juego 5 LIONS GOLD // entre las 07:52pm a 07:58pm // al momento que se marcan los 4 rodillos el juego debio bajarle el premio MAJOR // pero mi cliente se percata que su credito no habia tenido ninguna variación. Mi cliente esta reclamando por favor se reconozca su jugada asi como el premio de 324 soles. Se adjunta pantallas del reclamo del cliente por medio del Whatsapp. Datos: del celular Marca y modelo: Samsung S20 Alias: MERCENARIO Navegador: Chrome,OPERACIONES TI,CERRADO
312,441,BP200PEN###3748cf [23:58 // 16/9/2020] María Salinas De Moreno: Me sale inválido [23:58 // 16/9/2020] María Salinas De Moreno: Puedes verificar [23:58 // 16/9/2020] María Salinas De Moreno: El código,DEPORTES,CERRADO
313,442,Se ingresa incidencia porque invitada indica que le sale mensaje de error cuando intenta pagar código sf (dentro del rango) le sale sale el mensaje: INFORMACIÓN Empresa no está disponible en este momento. Generó varios códigos // solo puedo brindarme el 930475. ,OPERACIONES TI - FINANZAS,CERRADO
314,443,ALIAS: CharlyLopez ID: 3099 CLIENTE NO PUEDE CARGAR EL CÓDIGO DEL SORTEO ELECTRÓNICO QUE SE GENERÓ EL DÍA 10/09. SE100PEN###31d9c4  SALE CÓDIGO INVALIDO.  EL CÓDIGO TIENE VIGENCIA HASTA OCTUBRE. SE VERIFICA EN ALIRA QUE NO HA SIDO ACTIVADO EN SU CUENTA.,DEPORTES,CERRADO
